iter	Passed	Remaining
885	2399	308
886	2401	305
887	2404	303
888	2407	300
889	2409	297
890	2412	295
891	2414	292
892	2417	289
893	2419	286
894	2422	284
895	2425	281
896	2427	278
897	2429	276
898	2432	273
899	2435	270
900	2437	267
901	2440	265
902	2443	262
903	2445	259
904	2448	256
905	2450	254
906	2453	251
907	2456	248
908	2458	246
909	2461	243
910	2463	240
911	2466	237
912	2468	235
913	2471	232
914	2474	229
915	2476	227
916	2479	224
917	2481	221
918	2484	218
919	2486	216
920	2488	213
921	2491	210
922	2493	208
923	2495	205
924	2498	202
925	2501	199
926	2503	197
927	2505	194
928	2507	191
929	2510	188
930	2512	186
931	2514	183
932	2517	180
933	2519	178
934	2521	175
935	2524	172
936	2526	169
937	2528	167
938	2531	164
939	2533	161
940	2535	158
941	2537	156
942	2540	153
943	2542	150
944	2545	148
945	2547	145
946	2549	142
947	2552	139
948	2554	137
949	2557	134
950	2559	131
951	2562	129
952	2564	126
953	2566	123
954	2569	121
955	2571	118
956	2573	115
957	2576	112
958	2578	110
959	2581	107
960	2583	104
961	2586	102
962	2588	99
963	2590	96
964	2593	94
965	2595	91
966	2597	88
967	2600	85
968	2602	83
969	2605	80
970	2607	77
971	2609	75
972	2612	72
973	2614	69
974	2617	67
975	2619	64
976	2621	61
977	2624	59
978	2626	56
979	2628	53
980	2631	50
981	2633	48
982	2635	45
983	2638	42
984	2640	40
985	2643	37
986	2645	34
987	2647	32
988	2650	29
989	2652	26
990	2655	24
991	2657	21
992	2659	18
993	2662	16
994	2664	13
995	2667	10
996	2669	8
997	2671	5
998	2674	2
999	2676	0
